 VTW   BTW    VAW    BAW      V      VMG    PHI   REEF    FLAT      CL  IT SAIL                                                                                                                           
6.0  180.0   2.91  180.00  2.834  -2.834    .0  1.0000  1.0000  -.0572  3  Sym Spin
6.0  179.0   2.90  178.02  2.840  -2.839    .0  1.0000  1.0000  -.0153  2  Sym Spin
6.0  178.0   2.90  176.03  2.847  -2.846    .1  1.0000  1.0000   .0276  2  Sym Spin
6.0  177.0   2.89  174.04  2.856  -2.852    .1  1.0000  1.0000   .0647  2  Sym Spin
6.0  176.0   2.89  172.03  2.864  -2.857    .1  1.0000  1.0000   .0964  2  Sym Spin
6.0  175.0   2.89  170.02  2.874  -2.863    .1  1.0000  1.0000   .1303  2  Sym Spin
6.0  174.0   2.89  168.00  2.885  -2.870    .1  1.0000  1.0000   .1705  2  Sym Spin
6.0  173.0   2.88  165.97  2.898  -2.876    .1  1.0000  1.0000   .2150  2  Sym Spin
6.0  172.0   2.89  163.93  2.911  -2.883    .1  1.0000  1.0000   .2587  2  Sym Spin
6.0  171.0   2.89  161.88  2.925  -2.889    .1  1.0000  1.0000   .3003  2  Sym Spin
6.0  170.0   2.89  159.82  2.940  -2.895    .2  1.0000  1.0000   .3415  2  Sym Spin
6.0  169.0   2.89  157.76  2.956  -2.902    .2  1.0000  1.0000   .3848  2  Sym Spin
6.0  168.0   2.90  155.68  2.973  -2.908    .2  1.0000  1.0000   .4303  2  Sym Spin
6.0  167.0   2.90  153.60  2.991  -2.914    .2  1.0000  1.0000   .4772  2  Sym Spin
6.0  166.0   2.91  151.51  3.010  -2.921    .2  1.0000  1.0000   .5247  2  Sym Spin
6.0  165.0   2.92  149.42  3.030  -2.927    .2  1.0000  1.0000   .5728  2  Sym Spin
6.0  164.0   2.93  147.32  3.051  -2.933    .2  1.0000  1.0000   .6218  2  Sym Spin
6.0  163.0   2.94  145.21  3.073  -2.939    .2  1.0000  1.0000   .6719  2  Sym Spin
6.0  162.0   2.95  143.10  3.097  -2.945    .3  1.0000  1.0000   .7227  2  Sym Spin
6.0  161.0   2.97  140.98  3.121  -2.951    .3  1.0000  1.0000   .7738  2  Sym Spin
6.0  160.0   2.98  138.86  3.146  -2.956    .3  1.0000  1.0000   .8251  2  Sym Spin
6.0  159.0   3.00  136.74  3.173  -2.962    .3  1.0000  1.0000   .8761  2  Sym Spin
6.0  158.0   3.02  134.62  3.200  -2.967    .3  1.0000  1.0000   .9269  2  Sym Spin
6.0  157.0   3.04  132.50  3.228  -2.972    .3  1.0000  1.0000   .9773  2  Sym Spin
6.0  156.0   3.06  130.38  3.258  -2.976    .4  1.0000  1.0000  1.0272  2  Sym Spin
6.0  155.0   3.09  128.26  3.288  -2.980    .4  1.0000  1.0000  1.0765  2  Sym Spin
6.0  154.0   3.12  126.15  3.320  -2.984    .4  1.0000  1.0000  1.1250  2  Sym Spin
6.0  153.0   3.14  124.05  3.353  -2.987    .4  1.0000  1.0000  1.1724  2  Sym Spin
6.0  152.0   3.18  121.97  3.386  -2.990    .4  1.0000  1.0000  1.2185  2  Sym Spin
6.0  151.0   3.21  119.89  3.420  -2.991    .5  1.0000  1.0000  1.2632  2  Sym Spin
6.0  150.0   3.25  117.84  3.455  -2.992    .5  1.0000  1.0000  1.3063  2  Sym Spin
6.0  149.0   3.28  115.80  3.491  -2.992    .5  1.0000  1.0000  1.3478  2  Sym Spin
6.0  148.0   3.32  113.78  3.527  -2.991    .5  1.0000  1.0000  1.3879  2  Sym Spin
6.0  147.0   3.37  111.78  3.564  -2.989    .6  1.0000  1.0000  1.4266  2  Sym Spin
6.0  146.0   3.41  109.80  3.603  -2.987    .6  1.0000  1.0000  1.4640  2  Sym Spin
6.0  145.0   3.46  107.84  3.642  -2.983    .6  1.0000  1.0000  1.5003  2  Sym Spin
6.0  144.0   3.51  105.90  3.682  -2.979    .7  1.0000  1.0000  1.5354  2  Sym Spin
6.0  143.0   3.56  103.98  3.724  -2.974    .7  1.0000  1.0000  1.5694  2  Sym Spin
6.0  142.0   3.61  102.08  3.766  -2.968    .7  1.0000  1.0000  1.6024  2  Sym Spin
6.0  141.0   3.67  100.21  3.810  -2.961    .8  1.0000  1.0000  1.6345  2  Sym Spin
6.0  140.0   3.73   98.35  3.855  -2.953    .8  1.0000  1.0000  1.6657  2  Sym Spin
6.0  139.0   3.79   96.53  3.901  -2.944    .8  1.0000  1.0000  1.6960  2  Sym Spin
6.0  138.0   3.85   94.73  3.947  -2.933    .9  1.0000  1.0000  1.7254  2  Sym Spin
6.0  137.0   3.92   92.96  3.995  -2.922    .9  1.0000  1.0000  1.7541  2  Sym Spin
6.0  136.0   3.99   91.21  4.044  -2.909   1.0  1.0000  1.0000  1.7818  2  Sym Spin
6.0  135.0   4.06   89.50  4.094  -2.895   1.0  1.0000  1.0000  1.8090  2  Sym Spin
6.0  134.0   4.13   87.81  4.144  -2.879   1.0  1.0000  1.0000  1.8362  2  Sym Spin
6.0  133.0   4.21   86.15  4.196  -2.862   1.1  1.0000  1.0000  1.8635  2  Sym Spin
6.0  132.0   4.28   84.52  4.249  -2.843   1.2  1.0000  1.0000  1.8908  2  Sym Spin
6.0  131.0   4.36   82.92  4.303  -2.823   1.2  1.0000  1.0000  1.9183  2  Sym Spin
